,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
90544,20070904,SUMMIT FINANCIAL GROUP INC,SMMF,139077.8415,10.0,,,,,1,1.0,10.0,7.0,,,,,6.0,9.0,6.0,,,,,,10.0,2.0,7.0,4.0,,,,4.0,2.0,,,10.0,4.0,9.0,,,7.0,9.0,6.0,9.0,2.0,4.0,10.0,,,6.0,6.0,3.0,,3.0,9,10.0,10,1
90546,20070904,VIACELL INC,VIAC,175543.24,10.0,2.0,9.0,3.0,6.0,1,10.0,1.0,4.0,10.0,10.0,3.0,10.0,,1.0,,10.0,8.0,5.0,10.0,2.0,2.0,1.0,1.0,2.0,10.0,,,,4.0,,,8.0,7.0,9.0,,2.0,5.0,10.0,1.0,1.0,1.0,10.0,2.0,,,10.0,,,,1.0,9,10.0,10,10
90547,20070904,ALPHA NATURAL RESOURCES INC,ANR,1294517.12,7.0,4.0,6.0,3.0,4.0,10,1.0,1.0,4.0,8.0,4.0,9.0,2.0,10.0,10.0,10.0,3.0,2.0,5.0,7.0,3.0,6.0,9.0,10.0,9.0,4.0,,,10.0,6.0,8.0,8.0,2.0,3.0,10.0,,3.0,5.0,2.0,3.0,2.0,3.0,2.0,6.0,,,1.0,1.0,2.0,,3.0,10,1.0,10,10
90548,20070904,AMERICAN REPROGRAPHICS CO,ARP,1093966.88,7.0,1.0,9.0,1.0,3.0,10,1.0,1.0,4.0,10.0,2.0,6.0,8.0,2.0,3.0,2.0,1.0,4.0,8.0,3.0,3.0,1.0,8.0,10.0,2.0,7.0,,,2.0,5.0,1.0,1.0,2.0,2.0,2.0,,2.0,5.0,,10.0,6.0,9.0,7.0,3.0,,,6.0,,,,4.0,10,3.0,10,10
90550,20070904,DOLBY LABORATORIES INC,DLB,1758897.14,7.0,6.0,8.0,,9.0,10,10.0,1.0,1.0,9.0,2.0,3.0,10.0,,8.0,5.0,10.0,8.0,9.0,10.0,3.0,3.0,9.0,7.0,2.0,9.0,,,5.0,2.0,6.0,8.0,9.0,9.0,6.0,,5.0,1.0,,7.0,8.0,9.0,2.0,2.0,,,1.0,,,,6.0,10,6.0,10,10
90554,20070904,F T D GROUP INC,FTD,505309.86,9.0,7.0,7.0,7.0,9.0,10,10.0,10.0,2.0,8.0,8.0,4.0,8.0,,5.0,3.0,4.0,9.0,1.0,2.0,6.0,6.0,5.0,4.0,6.0,7.0,,,3.0,3.0,5.0,6.0,4.0,5.0,1.0,,8.0,2.0,,6.0,9.0,6.0,2.0,8.0,,,2.0,2.0,1.0,,3.0,10,8.0,10,10
90555,20070904,FAIRPOINT COMMUNICATIONS INC,FRP,604047.88,9.0,4.0,2.0,5.0,1.0,1,1.0,1.0,5.0,5.0,9.0,1.0,7.0,10.0,4.0,8.0,2.0,4.0,8.0,6.0,8.0,6.0,4.0,6.0,2.0,3.0,,,2.0,6.0,1.0,1.0,2.0,4.0,1.0,,4.0,5.0,2.0,8.0,7.0,5.0,2.0,8.0,,,1.0,1.0,3.0,,3.0,10,5.0,10,10
90556,20070904,FUSION TELECOMMS INTL INC,FSN,19688.83,10.0,5.0,3.0,6.0,2.0,1,10.0,1.0,6.0,1.0,10.0,9.0,1.0,,1.0,,10.0,5.0,1.0,2.0,9.0,4.0,1.0,1.0,8.0,1.0,,,,6.0,,,10.0,1.0,10.0,,7.0,6.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,10,10.0,10,10
90558,20070904,HUNTSMAN CORP,HUN,5736609.2,3.0,5.0,4.0,5.0,2.0,10,1.0,1.0,6.0,4.0,9.0,7.0,2.0,,9.0,10.0,7.0,10.0,8.0,2.0,10.0,8.0,5.0,9.0,10.0,9.0,,,9.0,8.0,8.0,6.0,6.0,9.0,9.0,,3.0,6.0,,6.0,6.0,4.0,4.0,1.0,,,5.0,,,,4.0,10,2.0,10,10
90560,20070904,MERCANTILE BANCORP INC,MBR,133538.0,10.0,,,,,1,1.0,10.0,7.0,,,,,5.0,9.0,6.0,,,,,,10.0,2.0,4.0,5.0,,,,6.0,2.0,,,10.0,5.0,5.0,,,7.0,,4.0,8.0,2.0,7.0,9.0,,,5.0,5.0,2.0,,4.0,10,10.0,10,1
